pmcid,url
PMC2994127,https://pmc.ncbi.nlm.nih.gov/articles/PMC2994127/
PMC6502102,https://pmc.ncbi.nlm.nih.gov/articles/PMC6502102/
PMC8531940,https://pmc.ncbi.nlm.nih.gov/articles/PMC8531940/
PMC5335719,https://pmc.ncbi.nlm.nih.gov/articles/PMC5335719/
PMC4273171,https://pmc.ncbi.nlm.nih.gov/articles/PMC4273171/
PMC8326006,https://pmc.ncbi.nlm.nih.gov/articles/PMC8326006/
PMC3521367,https://pmc.ncbi.nlm.nih.gov/articles/PMC3521367/
PMC12146331,https://pmc.ncbi.nlm.nih.gov/articles/PMC12146331/
PMC8883852,https://pmc.ncbi.nlm.nih.gov/articles/PMC8883852/
PMC7293479,https://pmc.ncbi.nlm.nih.gov/articles/PMC7293479/
